,Unnamed: 0.1,Unnamed: 0,rm_restaurant_id,r_onlyname,r_city,r_state,r_score,r_ratings,r_category,r_price_range,r_lat,r_lng,min,max,mean,median,count,state_city,menu_items
4158,10209,10209,29080,Ircias Kitchen Restaurant,washington dc,dc,,,"mexican, latin american, new mexican",$,38.9343857,-76.9909891,5.0,15.0,10.0,10.0,1,DC/WASHINGTON DC,18
4159,10210,10210,29081,Panjeros,washington dc,dc,,,"mexican, latin american, new mexican, exclusive to eats",$,38.90584,-77.04292,3.0,75.0,10.738095238095235,4.0,1,DC/WASHINGTON DC,21
4160,10211,10211,29082,Fresca Taqueria Rosticeria,washington dc,dc,,,"mexican, latin american, exclusive to eats",$$,38.900057,-76.995971,3.0,22.0,9.548260869565215,9.5,1,DC/WASHINGTON DC,92
4161,10212,10212,29083,Taco Assembly,washington dc,dc,,,"mexican, latin american, tacos",$$,38.90045,-76.99394,3.0,48.0,17.508055555555554,14.4,1,DC/WASHINGTON DC,36
4162,10213,10213,29084,The House of Pupuseria and Tacos,washington dc,dc,,,"tacos, mexican, latin american",$,38.93165,-77.02387,3.0,20.0,8.068181818181818,4.5,1,DC/WASHINGTON DC,22
4163,10214,10214,29085,Arepa Zone,washington dc,dc,4.8,53.0,"latin american, mexican, vegetarian",$,38.90059,-77.04503,3.0,16.5,9.278169014084508,8.75,1,DC/WASHINGTON DC,71
4169,10220,10220,29093,Chipotle Mexican Grill,arlington,va,4.6,210.0,"healthy, mexican",$,38.8798092,-77.1123036,3.15,16.4,7.961842105263158,6.425,1,VA/ARLINGTON,38
4172,10223,10223,29098,Birria Hands,washington dc,dc,4.5,64.0,"mexican, tacos",$,38.90045,-76.99394,3.0,14.38,6.3741666666666665,5.52,1,DC/WASHINGTON DC,24
4173,10224,10224,29099,My Canton Restaurant,washington dc,dc,,,"seafood, salads, mexican, healthy",$$,38.9234005,-77.0411838,3.0,18.99,13.770208333333334,14.99,1,DC/WASHINGTON DC,48
4183,10234,10234,29111,Los Cuates,washington dc,dc,4.2,43.0,mexican,$$,38.921275,-77.041916,4.95,67.95,16.735714285714284,15.45,1,DC/WASHINGTON DC,42
